iter	Passed	Remaining
0	0	86
1	1	86
2	2	84
3	3	84
4	4	91
5	5	90
6	6	90
7	7	88
8	8	89
9	9	87
10	10	85
11	11	83
12	12	81
13	12	79
14	13	77
15	14	75
16	15	73
17	15	71
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	45
44	36	44
45	37	44
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	58	19
75	58	18
76	59	17
77	60	16
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	73	0
99	74	0
