iter	RMSE
0	0.9722814797
1	0.9474042647
2	0.9248549285
3	0.9006760502
4	0.8783737739
5	0.8599734282
6	0.8391681683
7	0.8211775306
8	0.8036054075
9	0.7840938797
10	0.7653910207
11	0.7500976851
12	0.7354426249
13	0.7192297609
14	0.7029080461
15	0.6872623269
16	0.6726677168
17	0.6589821401
18	0.6453701598
19	0.6331064014
20	0.621950141
21	0.6107398616
22	0.6000902236
23	0.589005688
24	0.5787945956
25	0.5697875232
26	0.5603664613
27	0.5522884161
28	0.5436059553
29	0.535516826
30	0.527557003
31	0.5201223099
32	0.5128020365
33	0.5065933321
34	0.4994289617
35	0.4929206599
36	0.4866117527
37	0.4811127111
38	0.4757589799
39	0.4703869492
40	0.4655901371
41	0.4616652907
42	0.4567657827
43	0.4519686575
44	0.4473632607
45	0.4430894791
46	0.4388761981
47	0.4349865321
48	0.4309961604
49	0.4273406846
50	0.4242363985
51	0.4212931402
52	0.4179689811
53	0.4145728796
54	0.4117407136
55	0.4089205113
56	0.4062978754
57	0.4037699232
58	0.4016380903
59	0.3994650561
60	0.3972121259
61	0.3951891957
62	0.3930714997
63	0.391193039
64	0.3893787049
65	0.3876567583
66	0.3858595696
67	0.3839776006
68	0.3827578307
69	0.38110889
70	0.3796207279
71	0.3784726722
72	0.3771934865
73	0.3757852743
74	0.3743882072
75	0.3731264846
76	0.3721193153
77	0.3711240014
78	0.3701937779
79	0.3690677702
80	0.3680446791
81	0.367084946
82	0.3666339306
83	0.3659016917
84	0.3650202306
85	0.3639084389
86	0.3629155401
87	0.3621903745
88	0.3613693571
89	0.3604638096
90	0.3596885989
91	0.3590843491
92	0.3583615894
93	0.35779153
94	0.3571729218
95	0.3561987892
96	0.3556313512
97	0.3550814769
98	0.3545716944
99	0.3538667708
100	0.3534391284
101	0.3527507673
102	0.3522066532
103	0.3516460566
104	0.351103641
105	0.3504972801
106	0.3497603517
107	0.3490538804
108	0.3484992224
109	0.3479386535
110	0.347409701
111	0.347061884
112	0.346746313
113	0.3461184959
114	0.3457061329
115	0.3451159972
116	0.3448767919
117	0.3443904666
118	0.3440751649
119	0.3437530873
120	0.3435401188
121	0.3433061072
122	0.3427518756
123	0.3422950776
124	0.3419452027
125	0.3415629188
126	0.3412142179
127	0.3407413655
128	0.3402437392
129	0.339933858
130	0.3396835561
131	0.339383626
132	0.3391393842
133	0.3386806012
134	0.338278407
135	0.3380957492
136	0.3378065058
137	0.3374666901
138	0.3370888488
139	0.3367825407
140	0.3363492964
141	0.3362242523
142	0.3358397862
143	0.3354983654
144	0.3351538772
145	0.3347323826
146	0.3343026979
147	0.3341724882
148	0.3335992542
149	0.3332607838
150	0.3327617664
151	0.3325602412
152	0.3323401824
153	0.3321304738
154	0.3320171471
155	0.3316039791
156	0.3312136153
157	0.3308083167
158	0.3304356204
159	0.3299547429
160	0.3298268929
161	0.3295616278
162	0.3292213568
163	0.3289094748
164	0.3286953418
165	0.328476957
166	0.3282713353
167	0.327864811
